date,actual,forecast
2023-06-20,133.05,
2023-06-21,134.51,
2023-06-22,125.49,
2023-06-23,130.29,
2023-06-24,133.1,
2023-06-25,128.94,
2023-06-26,119.13,
2023-06-27,128.79,
2023-06-28,128.7,
2023-06-29,128.26,
2023-06-30,148.64,
2023-07-01,145.47,
2023-07-02,154.09,
2023-07-03,145.75,
2023-07-04,148.19,
2023-07-05,156.63,
2023-07-06,151.5,
2023-07-07,150.95,
2023-07-08,149.15,
2023-07-09,156.18,
2023-07-10,155.02,
2023-07-11,155.6,
2023-07-12,152.27,
2023-07-13,156.2,
2023-07-14,156.31,
2023-07-15,134.24,
2023-07-16,136.08,
2023-07-17,127.91,
2023-07-18,136.03,
2023-07-19,137.27,
2023-07-20,,137.27
2023-07-21,,137.27
2023-07-22,,137.27
2023-07-23,,137.27
2023-07-24,,137.27
2023-07-25,,137.27
2023-07-26,,137.27
2023-07-27,,137.27
2023-07-28,,137.27
2023-07-29,,137.27
2023-07-30,,137.27
2023-07-31,,137.27
2023-08-01,,137.27
2023-08-02,,137.27
2023-08-03,,137.27
2023-08-04,,137.27
2023-08-05,,137.27
2023-08-06,,137.27
2023-08-07,,137.27
2023-08-08,,137.27
2023-08-09,,137.27
2023-08-10,,137.27
2023-08-11,,137.27
2023-08-12,,137.27
2023-08-13,,137.27
2023-08-14,,137.27
2023-08-15,,137.27
2023-08-16,,137.27
2023-08-17,,137.27
2023-08-18,,137.27
