date,actual,forecast,model
2023-06-20,133.05,146.65,seasonal_naive
2023-06-21,134.51,147.65,seasonal_naive
2023-06-22,125.49,126.62,seasonal_naive
2023-06-23,130.29,130.89,seasonal_naive
2023-06-24,133.1,122.83,seasonal_naive
2023-06-25,128.94,119.03,seasonal_naive
2023-06-26,119.13,128.69,seasonal_naive
2023-06-27,128.79,127.94,seasonal_naive
2023-06-28,128.7,133.14,seasonal_naive
2023-06-29,128.26,129.73,seasonal_naive
2023-06-30,148.64,122.88,seasonal_naive
2023-07-01,145.47,124.41,seasonal_naive
2023-07-02,154.09,131.96,seasonal_naive
2023-07-03,145.75,133.92,seasonal_naive
2023-07-04,148.19,128.03,seasonal_naive
2023-07-05,156.63,127.51,seasonal_naive
2023-07-06,151.5,125.51,seasonal_naive
2023-07-07,150.95,132.77,seasonal_naive
2023-07-08,149.15,132.52,seasonal_naive
2023-07-09,156.18,136.09,seasonal_naive
2023-07-10,155.02,128.18,seasonal_naive
2023-07-11,155.6,128.01,seasonal_naive
2023-07-12,152.27,109.83,seasonal_naive
2023-07-13,156.2,111.26,seasonal_naive
2023-07-14,156.31,116.9,seasonal_naive
2023-07-15,134.24,109.87,seasonal_naive
2023-07-16,136.08,111.4,seasonal_naive
2023-07-17,127.91,114.01,seasonal_naive
2023-07-18,136.03,116.62,seasonal_naive
2023-07-19,137.27,110.91,seasonal_naive
